seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1715998433.498207,1.487440375960432,921620,4705,0.0
2,0,1,repeat,False,1715998434.994717,0.3254991670255549,921620,4705,2.362497616559267e-05
3,0,2,blank,False,1715998435.3249662,0.2913682090002112,921620,4705,0.33282000001054257
4,0,3,repeat,False,1715998435.6245437,0.3793849169742316,921620,4705,0.6306369170197286
5,0,4,repeat,False,1715998436.012934,0.2959049589699134,921620,4705,1.0185493750032037
6,0,5,blank,False,1715998436.3148932,0.22375537501648068,921620,4705,1.3221526669804007
7,0,6,repeat,False,1715998436.5475383,0.29905891697853804,921620,4705,1.553215584019199
8,0,7,blank,False,1715998436.8509672,0.23637933400459588,921620,4705,1.8589490419835784
9,0,8,blank,False,1715998437.096001,0.29267937497934327,921620,4705,2.1017156669986434
10,0,9,blank,False,1715998437.3974192,0.2933084589894861,921620,4705,2.403101625968702
11,0,10,blank,False,1715998437.6996279,0.2998857909697108,921620,4705,2.7052245429949835
12,0,11,repeat,False,1715998438.0083556,0.3541601249598898,921620,4705,3.0140304589876905
13,0,12,repeat,False,1715998438.367107,0.3367095830035396,921620,4705,3.375219417968765
14,0,13,repeat,False,1715998438.710934,0.3136925420258194,921620,4705,3.717713959980756
15,0,14,low_confidence,False,1715998439.0296,0.603988251008559,921620,4705,4.037462709995452
16,0,15,blank,False,1715998439.6362882,0.22556258301483467,921620,4705,4.645269459986594
17,0,16,blank,False,1715998439.8701308,0.2569580409908667,921620,4705,4.876224668987561
18,0,17,repeat,False,1715998440.1317844,0.2963974999729544,921620,4705,5.139611959981266
19,0,18,success,True,1715998440.4343224,0.6203396260389127,921620,9326,5.4429405849659815
20,1,1,blank,False,1715998441.0583436,0.3325462919892743,921620,9326,1.916952896863222e-06
21,1,2,repeat,False,1715998441.3979557,0.6147212089854293,921620,9326,0.337234083970543
22,1,3,repeat,False,1715998442.0165117,0.678247542004101,921620,9326,0.9574610009440221
23,1,4,repeat,False,1715998442.6975327,0.6672852920019068,921620,9326,1.6393115429673344
24,1,5,blank,False,1715998443.3708136,0.2987840420100838,921620,9326,2.311754292983096
25,1,6,blank,False,1715998443.6732714,0.3004479170194827,921620,9326,2.6146135849994607
26,1,7,blank,False,1715998443.9796498,0.31460408301791176,921620,9326,2.9198399599990807
27,1,8,blank,False,1715998444.2996442,0.34533058397937566,921620,9326,3.239994459960144
28,1,9,repeat,False,1715998444.6498008,0.6488514170050621,921620,9326,3.5903214189456776
29,1,10,repeat,False,1715998445.3022964,0.654331126017496,921620,9326,4.243155335949268
30,1,11,blank,False,1715998445.9597185,0.303050082991831,921620,9326,4.90135137795005
31,1,12,success,True,1715998446.267368,0.6701773339882493,921620,9321,5.208684752986301
32,2,1,repeat,False,1715998446.9425144,0.6092369169928133,921620,9321,1.879199407994747e-05
33,2,2,repeat,False,1715998447.555411,0.6736550420173444,921620,9321,0.6125294169760309
34,2,3,repeat,False,1715998448.2321877,0.6408701670006849,921620,9321,1.2894927089801058
35,2,4,blank,False,1715998448.876594,0.30973508302122355,921620,9321,1.933781542989891
36,2,5,blank,False,1715998449.1921163,0.30876958300359547,921620,9321,2.248152084008325
37,2,6,repeat,False,1715998449.5080395,0.6045290839974768,921620,9321,2.563322875997983
38,2,7,repeat,False,1715998450.115057,0.6385466259671375,921620,9321,3.172955168003682
39,2,8,repeat,False,1715998450.7560496,0.6505792080424726,921620,9321,3.8140315850032493
40,2,9,blank,False,1715998451.409817,0.3397198339807801,921620,9321,4.467534501978662
