step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1716361034.161242,560850.793141813,1716361046.2783766,560862.910276485,560850.794473646,560850.794473646,12.115802839049138,0.0,12.117134672007523,12.117134672007523,0.0013318329583853483,1
1,1716361046.2783766,560862.910276485,1716361054.0584376,560870.690337489,560862.914979402,560868.331178988,2.3591585010290146,5.230947072835447,7.780061003984883,2.549113931149437,0.18995543010532856,4
2,1716361054.0584376,560870.690337489,1716361063.178415,560879.810315076,560870.693410239,560877.3568297,2.4534853760851547,5.230947072835447,9.119977587019093,3.8890305141836468,1.4355451380833983,4
3,1716361063.1784153,560879.810315076,1716361071.6367908,560888.268690497,560879.813509576,560886.161769038,2.106921459082514,5.230947072835447,8.458375421003439,3.227428348167992,1.1205068890703842,4
4,1716361071.6367908,560888.268690497,1716361080.633162,560897.265061835,560888.272293539,560894.715374334,2.549687500926666,5.230947072835447,8.996371337911114,3.7654242650756675,1.2157367641339079,4
5,1716361080.633162,560897.265061835,1716361089.4967587,560906.128658505,560897.268525585,560903.27093892,2.8577195850666612,5.230947072835447,8.86359667009674,3.6326495972612936,0.7749300121795386,4
6,1716361089.4967587,560906.128658505,1716361097.908949,560914.540848634,560906.133238338,560912.310919591,2.229929042980075,5.230947072835447,8.412190128932707,3.1812430560972604,0.9513140131020918,4
7,1716361097.908949,560914.540848634,1716361107.2776446,560923.909544263,560914.545097675,560921.506846387,2.4026978759793565,5.230947072835447,9.368695629062131,4.1377485562266845,1.7350506802322343,4
8,1716361107.2776444,560923.909544263,1716361115.1514213,560931.783321183,560923.913088555,560929.741214933,2.0421062499517575,5.230947072835447,7.873776919906959,2.6428298470715124,0.6007235971046612,4
9,1716361115.1514213,560931.783321183,1716361124.2871652,560940.91906502,560931.787618849,560938.294691186,2.6243738339981064,5.230947072835447,9.13574383710511,3.9047967642696637,1.2804229302564636,4
10,1716361124.2871652,560940.91906502,1716361133.147537,560949.779436775,560940.922422187,560947.520859648,2.25857712700963,5.230947072835447,8.860371754970402,3.629424682134955,1.370847555110231,4
11,1716361133.147537,560949.779436775,1716361142.7059395,560959.337839279,560949.783723566,560957.050284278,2.2875550009775907,5.230947072835447,9.55840250395704,4.327455431121594,2.0399004301289096,4
12,1716361142.7059395,560959.337839279,1716361151.542989,560968.174888658,560959.341755987,560965.997347032,2.177541626035236,5.230947072835447,8.837049379013479,3.606102306178032,1.4285606801277027,4
13,1716361151.5429888,560968.174888658,1716361161.1807668,560977.812666746,560968.178104908,560975.398371328,2.4142954179551452,5.230947072835447,9.63777808798477,4.406831015149324,1.992535597179085,4
14,1716361161.180767,560977.812666746,1716361169.9469635,560986.578863292,560977.816601413,560983.791473832,2.7873894600197673,5.230947072835447,8.766196546028368,3.5352494731929216,0.7478600131580606,4
15,1716361169.9469635,560986.578863292,1716361178.8131733,560995.445073128,560986.582595417,560993.027039377,2.4180337509606034,5.230947072835447,8.866209835978225,3.6352627631427783,1.2172290121670812,4
16,1716361178.8131733,560995.445073128,1716361188.0644796,561004.696379508,560995.448544712,561002.428815923,2.2675635849591345,5.230947072835447,9.251306380028836,4.02035930719339,1.7527957222191617,4
17,1716361188.0644796,561004.696379508,1716361195.729643,561012.361543136,561004.699849841,561010.287560802,2.0739823339972645,5.230947072835447,7.665163627942093,2.434216555106646,0.36023422109428793,4
18,1716361195.7296433,561012.361543136,1716361204.5302644,561021.162164223,561012.365536678,561019.11324239,2.0489218330476433,5.230947072835447,8.800621087080799,3.5696740142453525,1.5207521811826155,4
19,1716361204.5302644,561021.162164223,1716361212.4302745,561029.062174227,561021.16607289,561026.916932601,2.1452416259562597,5.230947072835447,7.900010003941134,2.669062931105687,0.5238213051343337,4
20,1716361212.4302745,561029.062174227,1716361220.8850322,561037.516932023,561029.065594477,561035.388576813,2.128355209948495,5.230947072835447,8.454757796018384,3.223810723182938,1.095455513219349,4
21,1716361220.8850322,561037.516932023,1716361230.3178914,561046.949791277,561037.520227523,561044.484987443,2.4648038339801133,5.230947072835447,9.432859253953211,4.201912181117764,1.7371083471225575,4
22,1716361230.3178914,561046.949791277,1716361239.7285402,561056.360440073,561046.953538069,561053.562254905,2.798185167950578,5.230947072835447,9.4106487960089,4.179701723173453,1.3815165552077815,4
23,1716361239.7285402,561056.360440073,1716361248.4593096,561065.091209535,561056.363976864,561062.857187451,2.2340220840414986,5.230947072835447,8.730769462068565,3.4998223892331186,1.2658003051765263,4
24,1716361248.4593098,561065.091209535,1716361256.6594126,561073.291312289,561065.09485291,561071.217825747,2.073486541979946,5.230947072835447,8.200102753937244,2.969155681101798,0.8956691391067579,3
25,1716361256.6594124,561073.291312289,1716361265.405485,561082.037384793,561073.294889623,561079.471157584,2.5662272090557963,5.230947072835447,8.746072504087351,3.5151254312519047,0.9488982221810147,4
26,1716361265.405485,561082.037384793,1716361274.062995,561090.694894881,561082.040858335,561088.423474421,2.2714204599615186,5.230947072835447,8.657510087941773,3.4265630151063267,1.1551425551297143,4
27,1716361274.062995,561090.694894881,1716361282.356997,561098.988897009,561090.698696131,561096.43249755,2.5563994590193033,5.230947072835447,8.294002128066495,3.0630550552310485,0.5066555961966515,4
28,1716361282.3569973,561098.988897009,1716361291.3709238,561108.002823555,561098.992203593,561105.777267554,2.2255560010671616,5.230947072835447,9.013926545972936,3.7829794731374893,1.557423472055234,4
29,1716361291.3709238,561108.002823555,1716361299.9595408,561116.591440559,561108.006108722,561114.276146266,2.3152942929882556,5.230947072835447,8.588617003988475,3.357669931153028,1.0423756381496787,4
30,1716361299.9595408,561116.591440559,1716361309.9989238,561126.630823397,561116.595502434,561124.379539271,2.2512841259595007,5.230947072835447,10.039382837945595,4.808435765110149,2.5571516391355544,4
31,1716361309.9989235,561126.630823397,1716361318.141449,561134.773348818,561126.634293522,561132.729164109,2.044184708967805,5.230947072835447,8.142525420989841,2.9115783481543946,0.867393639171496,4
32,1716361318.141449,561134.773348818,1716361327.4100034,561144.041903155,561134.777215276,561141.598794529,2.4431086260592565,5.230947072835447,9.268554337089881,4.037607264254435,1.5944986381800845,4
33,1716361327.4100034,561144.041903155,1716361335.301018,561151.932917701,561144.045461364,561149.628430491,2.304487209999934,5.230947072835447,7.891014545923099,2.6600674730876523,0.3555802630726248,4
34,1716361335.301018,561151.932917701,1716361344.5399826,561161.171882164,561151.936326826,561158.630181871,2.5417002929607406,5.230947072835447,9.238964463002048,4.008017390166602,1.4663170971907675,4
35,1716361344.5399823,561161.171882164,1716361352.8297973,561169.461697209,561161.175400414,561167.443088958,2.01860825100448,5.230947072835447,8.289815045078285,3.0588679722428385,1.040259721223265,4
36,1716361352.8297975,561169.461697209,1716361362.1200085,561178.751908172,561169.465321792,561176.116778045,2.635130127076991,5.230947072835447,9.290210962994024,4.059263890158578,1.424133763066493,4
37,1716361362.1200085,561178.751908172,1716361370.7758565,561187.407756301,561178.755606463,561185.082420175,2.32533612602856,5.230947072835447,8.655848128953949,3.424901056118502,1.0995649300748482,4
38,1716361370.7758565,561187.407756301,1716361379.8598876,561196.491787513,561187.411183217,561194.110569596,2.3812179169617593,5.230947072835447,9.084031212027185,3.853084139191738,1.471866222214885,4
39,1716361379.8598876,561196.491787513,1716361389.1260805,561205.757980351,561196.495731388,561203.414394683,2.3435856680152938,5.230947072835447,9.266192837967537,4.035245765132091,1.6916600971017033,4
40,1716361389.1260805,561205.757980351,1716361398.6989193,561215.330819022,561205.762057142,561212.573825729,2.756993293063715,5.230947072835447,9.57283867103979,4.341891598204343,1.5848983051255345,4
41,1716361398.6989193,561215.330819022,1716361406.8421855,561223.474085276,561215.334720272,561221.185824608,2.2882606680504978,5.230947072835447,8.143266253988259,2.912319181152812,0.6240585130872205,4
42,1716361406.8421855,561223.474085276,1716361415.4660408,561232.09794053,561223.477908276,561229.946527779,2.151412751059979,5.230947072835447,8.623855254030786,3.39290818119534,1.241495430120267,4
