step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1716475156.1411495,667308.616164244,1716475162.0052085,667314.480223121,667308.617750452,667308.617750452,5.86247266898863,0.0,5.864058876992203,5.864058876992203,0.0015862080035731196,1
1,1716475162.0052085,667314.480223121,1716475168.4630845,667320.938099166,667314.486148413,667319.715086499,1.22301266703289,4.378,6.4578760450240225,2.0798760450240223,0.8568633779650554,6
2,1716475168.4630845,667320.938099166,1716475174.2343304,667326.709345086,667320.946731833,667325.388848627,1.3204964590258896,4.378,5.771245919982903,1.3932459199829026,0.07274946093093604,5
3,1716475174.2343304,667326.709345086,1716475180.453518,667332.928532672,667326.714430252,667331.672418463,1.2561142089543864,4.378,6.219187585986219,1.8411875859862192,0.5850733770057559,5
4,1716475180.453518,667332.928532672,1716475187.0512078,667339.526222633,667332.933414005,667338.168054132,1.3581685009412467,4.378,6.597689960966818,2.219689960966818,0.8615214599994943,5
5,1716475187.051208,667339.526222633,1716475192.677636,667345.152650469,667339.531398216,667343.506397343,1.6462531259749085,3.735,5.626427836017683,1.8914278360176833,0.24517471005674452,4
6,1716475192.6776357,667345.152650469,1716475198.8946347,667351.36964943,667345.156744177,667349.848203555,1.521445875056088,3.735,6.216998961055651,2.4819989610556514,0.9605530860135332,4
7,1716475198.8946347,667351.36964943,1716475204.0982745,667356.573289183,667351.375568264,667355.12589614,1.4473930429667234,3.735,5.20363975293003,1.4686397529300304,0.021246709977276623,4
8,1716475204.0982745,667356.573289183,1716475209.514903,667361.989917769,667356.579590475,667360.574872768,1.4150450009619817,3.735,5.416628586011939,1.6816285860119389,0.2665835850639269,4
9,1716475209.514903,667361.989917769,1716475215.561403,667368.036417729,667361.99497031,667366.837918645,1.1984990839846432,4.049,6.046499960008077,1.997499960008077,0.7990008760243654,4
10,1716475215.561403,667368.036417729,1716475221.2151277,667373.690142357,667368.041637271,667372.383982023,1.306160334032029,4.049,5.653724628034979,1.6047246280349787,0.2985642940038815,4
11,1716475221.2151277,667373.690142357,1716475227.3589604,667379.833975151,667373.695226523,667378.593332942,1.2406422089552507,4.049,6.1438327939249575,2.094832793924957,0.8541905849706382,5
12,1716475227.3589604,667379.833975151,1716475233.2270577,667385.702072529,667379.838257276,667384.374693487,1.32737904204987,4.049,5.868097378057428,1.8190973780574273,0.49171833600848913,4
13,1716475233.2270577,667385.702072529,1716475244.1681724,667396.643187242,667385.707320321,667395.438999074,1.2041881679324433,4.049,10.941114712972194,6.892114712972194,5.687926545040682,8
14,1716475244.1681726,667396.643187242,1716475249.960843,667402.435857703,667396.648166658,667401.15037166,1.2854860429652035,4.049,5.792670460999943,1.743670460999943,0.4581844180356711,4
15,1716475249.960843,667402.435857703,1716475255.7959843,667408.270998831,667402.440812619,667406.796571038,1.4744277930585667,4.049,5.835141128045507,1.7861411280455064,0.31171333498787135,4
16,1716475255.795984,667408.270998831,1716475261.9994917,667414.474506375,667408.279583206,667413.193564458,1.280941916978918,4.049,6.203507544007152,2.154507544007152,0.8735656270291656,4
17,1716475261.9994917,667414.474506375,1716475268.0540378,667420.529052545,667414.479684958,667419.290029711,1.2390228339936584,4.049,6.054546169936657,2.0055461699366566,0.7665233359439299,5
18,1716475268.0540378,667420.529052545,1716475279.0752316,667431.550246299,667420.533948586,667430.11506809,1.435178208979778,4.049,11.021193754044361,6.972193754044361,5.537015545065515,8
19,1716475279.0752316,667431.550246299,1716475284.8262773,667437.30129201,667431.555206841,667436.050965843,1.2503261669771746,4.049,5.751045710989274,1.7020457109892737,0.4517195440130308,4
20,1716475284.8262773,667437.30129201,1716475291.025507,667443.500521638,667437.306803552,667442.218845763,1.2816758749540895,4.049,6.199229627964087,2.1502296279640865,0.8685537530109286,5
