seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1716041167.0497289,1.3767103760037571,921620,4705,0.0
2,0,1,repeat,False,1716041168.435959,0.3351260839845054,921620,4705,8.707982487976551e-06
3,0,2,repeat,False,1716041168.7751,0.300661624991335,921620,4705,0.34229649999178946
4,0,3,blank,False,1716041169.079705,0.3371568339644,921620,4705,0.646882333967369
5,0,4,repeat,False,1716041169.4254937,0.3398732499917969,921620,4705,0.989986417000182
6,0,5,repeat,False,1716041169.7702372,0.3205622510286048,921620,4705,1.3370100010070018
7,0,6,blank,False,1716041170.095502,0.31849575001979247,921620,4705,1.6620059589622542
8,0,7,blank,False,1716041170.4224765,0.22932366700842977,921620,4705,1.987084292981308
9,0,8,blank,False,1716041170.660551,0.2505912500200793,921620,4705,2.2250897510093637
10,0,9,repeat,False,1716041170.919568,0.29172416595974937,921620,4705,2.4846048759645782
11,0,10,blank,False,1716041171.2223594,0.22919687494868413,921620,4705,2.785627292993013
12,0,11,blank,False,1716041171.4600544,0.23193187499418855,921620,4705,3.0246020019985735
13,0,12,repeat,False,1716041171.7009182,0.3506928330170922,921620,4705,3.2651617099763826
14,0,13,blank,False,1716041172.057525,0.2848140000132844,921620,4705,3.6232049179961905
15,0,14,blank,False,1716041172.3509903,0.30741091701202095,921620,4705,3.9152230019681156
16,0,15,repeat,False,1716041172.6674047,0.32397762598702684,921620,4705,4.231965960003436
17,0,16,blank,False,1716041172.9965162,0.26409029198111966,921620,4705,4.563296585984062
18,0,17,blank,False,1716041173.2687624,0.2861256669857539,921620,4705,4.83410991897108
19,0,18,blank,False,1716041173.5633433,0.22977074998198077,921620,4705,5.127778586000204
20,0,19,success,True,1716041173.7953804,0.6440726260188967,921620,9315,5.3638715440174565
21,1,1,repeat,False,1716041174.442865,0.5705079999752343,921620,9315,1.9999570213258266e-06
22,1,2,blank,False,1716041175.016523,0.2908679169486277,921620,9315,0.573060666967649
23,1,3,blank,False,1716041175.3112745,0.3372967090108432,921620,9315,0.8677657509688288
24,1,4,blank,False,1716041175.6544101,0.30698433401994407,921620,9315,1.2099083759821951
25,1,5,blank,False,1716041175.9662368,0.3571174169774167,921620,9315,1.5219727929797955
