mean,jitter,shape,scale
0.1,0.02,4.497599799308282,0.08834571730643725
0.2,0.04,6.257237158959281,0.17720559672580016
0.4,0.08,6.836942894082407,0.35132199129896735
0.8,0.16,7.751845366064721,0.7016363969075945
1.6,0.32,7.68971604708235,1.3942858989271125
3.2,0.64,7.592261660663533,2.7837049862585688
