participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,32,2019-11-15 19:23:10.247000+00:00,2019-11-15 19:23:21.086000+00:00,0 days 00:00:10.839000,0 days 00:00:02.700000,5,3,0 days 00:00:05.737000
134146,33,2019-11-15 19:23:21.086000+00:00,2019-11-15 19:23:29.226000+00:00,0 days 00:00:08.140000,0 days 00:00:02.700000,5,4,0 days 00:00:03.827000
134146,34,2019-11-15 19:23:29.226000+00:00,2019-11-15 19:23:37.360000+00:00,0 days 00:00:08.134000,0 days 00:00:02.700000,5,5,0 days 00:00:03.933000
134146,35,2019-11-15 19:23:37.360000+00:00,2019-11-15 19:23:45.496000+00:00,0 days 00:00:08.136000,0 days 00:00:02.700000,5,6,0 days 00:00:04.250000
134146,36,2019-11-15 19:23:45.496000+00:00,2019-11-15 19:23:53.636000+00:00,0 days 00:00:08.140000,0 days 00:00:02.700000,5,7,0 days 00:00:04.391000
134146,37,2019-11-15 19:23:53.636000+00:00,2019-11-15 19:24:07.175000+00:00,0 days 00:00:13.539000,0 days 00:00:01.125000,6,0,0 days 00:00:09.479000
134146,38,2019-11-15 19:24:07.175000+00:00,2019-11-15 19:24:15.090000+00:00,0 days 00:00:07.915000,0 days 00:00:01.125000,6,1,0 days 00:00:05.677000
134146,39,2019-11-15 19:24:15.090000+00:00,2019-11-15 19:24:23.006000+00:00,0 days 00:00:07.916000,0 days 00:00:01.125000,6,2,0 days 00:00:05.685000
134146,40,2019-11-15 19:24:23.006000+00:00,2019-11-15 19:24:30.916000+00:00,0 days 00:00:07.910000,0 days 00:00:01.125000,6,3,0 days 00:00:05.683000
134146,41,2019-11-15 19:24:30.916000+00:00,2019-11-15 19:24:37.704000+00:00,0 days 00:00:06.788000,0 days 00:00:01.125000,6,4,0 days 00:00:04.556000
134146,42,2019-11-15 19:24:37.704000+00:00,2019-11-15 19:24:43.337000+00:00,0 days 00:00:05.633000,0 days 00:00:01.125000,6,5,0 days 00:00:03.395000
134146,43,2019-11-15 19:24:43.337000+00:00,2019-11-15 19:24:47.842000+00:00,0 days 00:00:04.505000,0 days 00:00:01.125000,6,6,0 days 00:00:02.326000
134146,44,2019-11-15 19:24:47.842000+00:00,2019-11-15 19:24:54.600000+00:00,0 days 00:00:06.758000,0 days 00:00:01.125000,6,7,0 days 00:00:04.562000
134146,45,2019-11-15 19:24:54.600000+00:00,2019-11-15 19:25:02.488000+00:00,0 days 00:00:07.888000,0 days 00:00:01.125000,7,0,0 days 00:00:05.679000
134146,46,2019-11-15 19:25:02.488000+00:00,2019-11-15 19:25:09.273000+00:00,0 days 00:00:06.785000,0 days 00:00:01.125000,7,1,0 days 00:00:04.637000
134146,47,2019-11-15 19:25:09.273000+00:00,2019-11-15 19:25:14.912000+00:00,0 days 00:00:05.639000,0 days 00:00:01.125000,7,2,0 days 00:00:03.434000
134146,48,2019-11-15 19:25:14.912000+00:00,2019-11-15 19:25:20.542000+00:00,0 days 00:00:05.630000,0 days 00:00:01.125000,7,3,0 days 00:00:03.468000
134146,49,2019-11-15 19:25:20.542000+00:00,2019-11-15 19:25:29.549000+00:00,0 days 00:00:09.007000,0 days 00:00:01.650000,8,0,0 days 00:00:06.760000
134146,50,2019-11-15 19:25:29.549000+00:00,2019-11-15 19:25:37.835000+00:00,0 days 00:00:08.286000,0 days 00:00:01.650000,8,1,0 days 00:00:05.535000
134146,51,2019-11-15 19:25:37.835000+00:00,2019-11-15 19:25:49.434000+00:00,0 days 00:00:11.599000,0 days 00:00:01.650000,8,2,0 days 00:00:08.687000
134146,52,2019-11-15 19:25:49.434000+00:00,2019-11-15 19:25:57.719000+00:00,0 days 00:00:08.285000,0 days 00:00:01.650000,8,3,0 days 00:00:05.565000
134146,53,2019-11-15 19:25:57.719000+00:00,2019-11-15 19:26:04.355000+00:00,0 days 00:00:06.636000,0 days 00:00:01.650000,8,4,0 days 00:00:03.807000
134146,54,2019-11-15 19:26:04.355000+00:00,2019-11-15 19:26:10.967000+00:00,0 days 00:00:06.612000,0 days 00:00:01.650000,8,5,0 days 00:00:03.838000
134146,55,2019-11-15 19:26:10.967000+00:00,2019-11-15 19:26:15.925000+00:00,0 days 00:00:04.958000,0 days 00:00:01.650000,8,6,0 days 00:00:02.059000
134146,56,2019-11-15 19:26:15.925000+00:00,2019-11-15 19:26:22.532000+00:00,0 days 00:00:06.607000,0 days 00:00:01.650000,8,7,0 days 00:00:03.941000
134146,57,2019-11-15 19:26:22.532000+00:00,2019-11-15 19:26:32.446000+00:00,0 days 00:00:09.914000,0 days 00:00:00,9,0,0 days 00:00:06.693000
134146,58,2019-11-15 19:26:32.446000+00:00,2019-11-15 19:26:38.466000+00:00,0 days 00:00:06.020000,0 days 00:00:00,9,1,0 days 00:00:04.852000
134146,59,2019-11-15 19:26:38.466000+00:00,2019-11-15 19:26:41.977000+00:00,0 days 00:00:03.511000,0 days 00:00:00,9,2,0 days 00:00:02.263000
134146,60,2019-11-15 19:26:41.977000+00:00,2019-11-15 19:26:46.423000+00:00,0 days 00:00:04.446000,0 days 00:00:00,9,3,0 days 00:00:03.624000
134146,61,2019-11-15 19:26:46.423000+00:00,2019-11-15 19:26:51.116000+00:00,0 days 00:00:04.693000,0 days 00:00:00.600000,10,0,0 days 00:00:03.845000
134146,62,2019-11-15 19:26:51.116000+00:00,2019-11-15 19:26:55.924000+00:00,0 days 00:00:04.808000,0 days 00:00:00.600000,10,1,0 days 00:00:03.299000
