seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1716409297.621195,11.104462380055338,921620,4705,0.0
2,0,1,repeat,False,1716409308.746671,2.1927969590760767,921620,4705,5.100003909319639e-05
3,0,2,blank,False,1716409310.9453695,2.1192286669975147,921620,4705,2.2077005420578644
4,0,3,blank,False,1716409313.0742407,1.5983747090213,921620,4705,4.335656792973168
5,0,4,success,True,1716409314.6877418,2.2919848350575194,921620,9315,5.945312252966687
6,1,1,repeat,False,1716409316.9902754,3.25216387596447,921620,9315,9.416020475327969e-06
7,1,2,blank,False,1716409320.2522109,1.9082334589911625,921620,9315,3.2602042930666357
8,1,3,blank,False,1716409322.169326,2.145783166983165,921620,9315,5.178509835037403
9,1,4,success,True,1716409324.3224504,1.9829132510349154,921620,9321,7.334209711058065
10,2,1,repeat,False,1716409326.3179603,2.1952847929205745,921620,9321,8.041039109230042e-06
11,2,2,blank,False,1716409328.5221524,1.9320011669769883,921620,9321,2.2040342920226976
12,2,3,blank,False,1716409330.4632554,1.842767250025645,921620,9321,4.145186168025248
13,2,4,success,True,1716409332.312106,2.1053792510647327,921620,9312,5.996594459982589
14,3,1,repeat,False,1716409334.431999,2.553961834986694,921620,9312,2.0957901142537594e-05
15,3,2,blank,False,1716409336.9948123,1.7939280420541763,921620,9312,2.562591750989668
16,3,3,blank,False,1716409338.7976255,2.6955736679956317,921620,9312,4.365554709918797
17,3,4,success,True,1716409341.4999788,1.948769084061496,921620,9306,7.070364877930842
18,4,1,repeat,False,1716409343.4607613,2.515633709030226,921620,9306,8.999952115118504e-06
19,4,2,blank,False,1716409345.98552,2.196663710055873,921620,9306,2.524233375908807
20,4,3,blank,False,1716409348.1910887,1.9649964589625597,921620,9306,4.729794960934669
21,4,4,success,True,1716409350.1622472,2.1540723349899054,921620,9316,6.7035628779558465
22,5,1,repeat,False,1716409352.327802,2.2216390839312226,921620,9316,1.108401920646429e-05
23,5,2,repeat,False,1716409354.5611508,2.614032835001126,921620,9316,2.2332596679916605
24,5,3,blank,False,1716409357.184263,2.07707370899152,921620,9316,4.855922878021374
25,5,4,success,True,1716409359.2676663,1.989635208970867,921620,9320,6.941854379023425
26,6,1,repeat,False,1716409361.2693796,2.0599201259901747,921620,9320,1.0124989785254002e-05
27,6,2,repeat,False,1716409363.3379812,2.5653262929990888,921620,9320,2.0682034590281546
28,6,3,blank,False,1716409365.9129102,1.9574374599615112,921620,9320,4.642399584990926
