step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715991732.1958563,261532.351341445,1715991733.692733,261533.848218237,261532.352732486,261532.352732486,1.4954857509874273,0.0,1.4968767919926904,1.4968767919926904,0.001391041005263105,1
1,1715991733.692733,261533.848218237,1715991739.7731445,261539.928629615,261533.851512487,261539.259342615,0.6692869999969844,5.298646351762294,6.080411378003191,0.7817650262408975,0.11247802624711767,19
2,1715991739.7731445,261539.928629615,1715991745.736354,261545.891839326,261539.930272823,261545.269093367,0.6227459590008948,5.20691831906619,5.9632097110152245,0.7562913919490342,0.13354543293826282,14
3,1715991745.736354,261545.891839326,1715991751.5470223,261551.70250762,261545.892940951,261551.113240079,0.5892675410141237,5.20047978863171,5.810668293997878,0.6101885053661684,0.020920964365359396,12
4,1715991751.5470226,261551.70250762,1715991757.3707633,261557.526248248,261551.703662495,261556.936365873,0.5898823750030715,5.15814215094253,5.823740627994994,0.6655984770524634,0.07571610205923207,13
5,1715991757.370763,261557.526248248,1715991763.173549,261563.329034209,261557.527439165,261562.725576583,0.6034576259844471,5.175314725103438,5.802785960986512,0.6274712358830739,0.024013609887333587,14
6,1715991763.1735492,261563.329034209,1715991768.4369,261568.592384961,261563.33006325,261567.988175003,0.6042099579935893,4.5533211187718585,5.263350752007682,0.7100296332358234,0.10581967525649816,13
7,1715991768.4369,261568.592384961,1715991773.9256065,261574.081091547,261568.593383128,261573.476343922,0.6047476250096224,4.575029174947036,5.488706586009357,0.9136774110623209,0.30892978605697863,12
8,1715991773.9256065,261574.081091547,1715991779.3729117,261579.528396675,261574.082110464,261578.908610799,0.6197858760133386,4.61153544903369,5.447305128007429,0.8357696789737386,0.21598380294744857,13
9,1715991779.3729115,261579.528396675,1715991784.8429337,261584.998418844,261579.529572883,261584.385163885,0.6132549590256531,4.600282219720427,5.4700221690000035,0.8697399492795768,0.256484990241006,13
10,1715991784.8429337,261584.998418844,1715991789.3791707,261589.534655888,261584.999535844,261588.904353263,0.6303026250097901,3.834675677519839,4.536237043997971,0.7015613664781322,0.07125874146004207,8
11,1715991789.379171,261589.534655888,1715991793.8953826,261594.050867722,261589.535715096,261593.456179055,0.5946886669844389,3.742128061780607,4.516211833979469,0.7740837721988618,0.17939510522410274,13
12,1715991793.8953826,261594.050867722,1715991798.663985,261598.819469975,261594.052131681,261598.165377433,0.6540925419831183,3.7826682719349445,4.768602252996061,0.9859339810611165,0.33184143906692043,12
13,1715991798.6639848,261598.819469975,1715991803.217907,261603.373392143,261598.821206225,261602.785662018,0.5877301250002347,3.895641133833845,4.553922168008285,0.6582810341744398,0.07055090917856432,9
14,1715991803.217907,261603.373392143,1715991807.5629895,261607.718474646,261603.374585685,261607.113179687,0.6052949590084609,3.7174729573185257,4.345082503015874,0.6276095456973483,0.0223145866766572,11
