step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715980728.4000854,250946.239044871,1715980729.167671,250947.006630371,250946.239632621,250946.239632621,0.7669977500045206,0.0,0.7675854999979492,0.7675854999979492,0.0005877499934285879,1
1,1715980729.167671,250947.006630371,1715980734.2837865,250952.12274604,250947.008185704,250951.630669373,0.4920766669965815,4.588833609715904,5.116115668992279,0.5272820592763754,0.03520539228338748,31
2,1715980734.2837865,250952.12274604,1715980739.3718643,250957.210823876,250952.123759665,250956.723762042,0.48706183399190195,4.596276253194242,5.088077836000593,0.49180158280635133,0.004739748808788136,16
3,1715980739.3718646,250957.210823876,1715980743.689911,250961.528870128,250957.212314126,250961.052787628,0.4760825000121258,3.793316523188551,4.31804625201039,0.5247297288218391,0.04864722880301997,15
4,1715980743.6899107,250961.528870128,1715980752.4646056,250970.303565006,250961.529655336,250969.827356423,0.47620858301525004,8.257193654636508,8.774694877996808,0.5175012233603002,0.04129264035145752,26
5,1715980752.4646056,250970.303565006,1715980760.9337182,250978.772677552,250970.304414506,250978.27287226,0.49980529202730395,7.852621002109873,8.469112546008546,0.6164915438986727,0.11668625185848214,36
6,1715980760.9337182,250978.772677552,1715980768.026109,250985.865068264,250978.773477969,250985.395963889,0.46910437499172986,6.472922840666277,7.092390711972257,0.6194678713059805,0.1503634963009972,23
7,1715980768.0261087,250985.865068264,1715980776.2414858,250994.080445309,250985.865846764,250993.589999393,0.49044591598794796,7.6295732516512675,8.215377045009518,0.5858037933582505,0.095357877376955,37
8,1715980776.2414858,250994.080445309,1715980782.0098484,250999.848807853,250994.081248726,250999.371383729,0.47742412399384193,5.2699744515018345,5.768362544011325,0.4983880925094901,0.0209639685053844,19
9,1715980782.0098484,250999.848807853,1715980788.4446793,251006.283638731,250999.849873103,251005.787081189,0.49655754200648516,5.818662045954709,6.434830877988134,0.6161688320334244,0.11961129002156667,26
10,1715980788.4446793,251006.283638731,1715980796.1126888,251013.951648151,251006.284476898,251013.472392609,0.47925554201356135,7.148363177415991,7.668009420012822,0.5196462425968313,0.040390700596617535,35
11,1715980796.1126888,251013.951648151,1715980800.7266357,251018.56559507,251013.952433276,251018.075584487,0.4900105829874519,4.040023924108792,4.6139469189802185,0.5739229948714266,0.08391241187928244,15
12,1715980800.7266357,251018.56559507,1715980813.0455182,251030.88447745,251018.56642782,251030.430248242,0.45422920800046995,11.71109222112833,12.318882380001014,0.6077901588726835,0.15356095088645816,44
13,1715980813.045518,251030.88447745,1715980817.456701,251035.295660619,251030.885234992,251034.810624619,0.4850360000273213,3.904752448301639,4.411183169024298,0.5064307207226588,0.021394720708485693,16
14,1715980817.4567013,251035.295660619,1715980822.530788,251040.369747205,251035.296453453,251039.892410413,0.47733679198427126,4.569755554028811,5.0740865859843325,0.5043310319555214,0.02699423997546546,24
15,1715980822.5307877,251040.369747205,1715980827.881638,251045.720597458,251040.370624163,251045.221160166,0.4994372920191381,4.844304926407939,5.350850253016688,0.506545326608749,0.007108034595148638,23
16,1715980827.881638,251045.720597458,1715980832.6386342,251050.477593585,251045.721471583,251049.987036585,0.49055700001190417,4.168407591501367,4.756996126990998,0.588588535489631,0.09803153548273258,16
17,1715980832.6386342,251050.477593585,1715980840.1076345,251057.946594005,251050.478393668,251057.439543505,0.5070505000185221,6.885304517294276,7.469000420009252,0.5836959027149753,0.07664540270343423,28
18,1715980840.1076345,251057.946594005,1715980843.0315638,251060.870523214,251057.947387338,251060.369776339,0.500746874982724,2.3574830057195966,2.923929208976915,0.5664462032573185,0.06569932826096192,12
19,1715980843.0315638,251060.870523214,1715980846.8992255,251064.738184883,251060.871426256,251064.250815674,0.4873692090041004,3.232244282873877,3.8676616690063383,0.6354173861324615,0.1480481771286577,14
20,1715980846.8992255,251064.738184883,1715980853.6067524,251071.445711802,251064.738993841,251070.941425844,0.5042859579843935,6.200643271484149,6.707526918995427,0.5068836475112777,0.002597689541289583,28
