step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1714930418.0494738,41180.565198742,1714930419.8475769,41182.363301868,41180.566404617,41180.566404617,1.7968972509988816,0.0,1.7981031259987503,1.7981031259987503,0.0012058749998686835,1
1,1714930419.8475769,41182.363301868,1714930428.5712965,41191.087021372,41182.365402909,41190.425334747,0.6616866249969462,7.908539983191517,8.723719503999746,0.8151795208082291,0.15349289581354242,28
2,1714930428.5712965,41191.087021372,1714930435.3244965,41197.840221374,41191.088414455,41197.211796,0.628425373994105,5.84967802477515,6.753200002000085,0.9035219772249352,0.2750966032326687,13
3,1714930435.3244965,41197.840221374,1714930440.632046,41203.147770918,41197.841543457,41202.516661585,0.6311093330004951,4.5994404410764735,5.307549544006179,0.7081091029297051,0.07699976993171731,10
4,1714930440.632046,41203.147770918,1714930444.5145683,41207.030293253,41203.149040252,41206.399528878,0.6307643750042189,2.752245846596752,3.8825223349995213,1.1302764884027692,0.499512113397941,8
5,1714930444.5145683,41207.030293253,1714930453.1640248,41215.679749799,41207.031475587,41214.976555424,0.7031943749971106,7.607418919552682,8.649456545994326,1.042037626441644,0.33884325144754257,20
6,1714930453.1640248,41215.679749799,1714930457.3762536,41219.891978551,41215.683308341,41219.214111634,0.6778669170016656,3.4066089945957967,4.212228752003284,0.8056197574074875,0.1277528404025361,9
7,1714930457.3762536,41219.891978551,1714930462.7444503,41225.260175387,41219.89311151,41224.613630054,0.6465453329947195,4.479660221303465,5.368196835996059,0.8885366146925939,0.2419912816985743,12
8,1714930462.7444503,41225.260175387,1714930468.717675,41231.233399973,41225.26122447,41230.600600681,0.6327992920050747,5.1089463763767675,5.973224586006836,0.8642782096300685,0.23147891762346262,14
9,1714930468.717675,41231.233399973,1714930474.6645942,41237.180319226,41231.234571639,41236.515576017,0.6647432089957874,5.032112493972308,5.946919252994121,0.914806759021813,0.2500635500255157,13
10,1714930474.6645942,41237.180319226,1714930481.3281999,41243.84392502,41237.181486684,41243.200431562,0.6434934580029221,5.888535180132934,6.6636057940049795,0.7750706138720451,0.13157715586567065,17
11,1714930481.3282,41243.84392502,1714930486.1052577,41248.620982564,41243.845103729,41248.026376064,0.5946065000025555,4.020257228455985,4.777057544000854,0.7568003155448695,0.1621938155440148,11
12,1714930486.1052575,41248.620982564,1714930489.9335108,41252.449235858,41248.621980856,41251.826331024,0.6229048340028385,3.1478200848286937,3.828253293999296,0.6804332091706025,0.05752837516774889,8
13,1714930489.9335108,41252.449235858,1714930494.062394,41256.578118985,41252.450411899,41255.901442318,0.676676667004358,3.0394213965044816,4.128883126999426,1.0894617304949445,0.4127850634904462,6
