seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1715919525.1324718,189740.821955282,1715919525.2115128,189740.900997907,0.07904262500233017,FrameResult.SUCCESS,0.0
2,1715919525.3470252,189741.036509449,1715919525.4064167,189741.095900824,0.05939137499080971,FrameResult.NO_CHANGE,0.0
3,1715919525.5494208,189741.238903949,1715919525.6114793,189741.300964157,0.062060208001639694,FrameResult.NO_CHANGE,0.0
4,1715919525.774972,189741.464456366,1715919525.7797725,189741.469257157,0.004800791008165106,FrameResult.CV_ERROR,0.0
5,1715919525.8946505,189741.584134907,1715919525.9387574,189741.628242407,0.04410749999806285,FrameResult.NO_CHANGE,0.0
6,1715919526.0530517,189741.742535657,1715919526.0606272,189741.750109949,0.007574292016215622,FrameResult.CV_ERROR,0.0
7,1715919526.1874235,189741.876903782,1715919526.1911948,189741.880679032,0.0037752500211354345,FrameResult.CV_ERROR,0.0
8,1715919526.334238,189742.023717991,1715919526.4049177,189742.094402033,0.07068404200254008,FrameResult.NO_CHANGE,0.0
9,1715919526.5094628,189742.198947199,1715919526.5194201,189742.208904741,0.009957542002666742,FrameResult.CV_ERROR,0.0
10,1715919526.631233,189742.320717574,1715919526.697224,189742.386708866,0.06599129198002629,FrameResult.NO_CHANGE,0.0
11,1715919526.8398676,189742.529351408,1715919526.847219,189742.536702616,0.007351207983447239,FrameResult.CV_ERROR,0.0
12,1715919526.995591,189742.685075283,1715919527.056061,189742.745546033,0.0604707500024233,FrameResult.NO_CHANGE,0.0
13,1715919527.1730974,189742.862580741,1715919527.2414439,189742.930928866,0.06834812500164844,FrameResult.NO_CHANGE,0.0
14,1715919527.362901,189743.052384741,1715919527.3675098,189743.056994033,0.004609291994711384,FrameResult.CV_ERROR,0.0
15,1715919527.4813185,189743.17080295,1715919527.484968,189743.174452408,0.0036494580272119492,FrameResult.CV_ERROR,0.0
16,1715919527.630848,189743.320331866,1715919527.6348512,189743.324335325,0.004003459005616605,FrameResult.CV_ERROR,0.0
17,1715919527.7724898,189743.461973658,1715919527.8386989,189743.5281832,0.06620954198297113,FrameResult.NO_CHANGE,0.0
18,1715919527.9889498,189743.678433617,1715919527.9942567,189743.683740742,0.005307125014951453,FrameResult.CV_ERROR,0.0
19,1715919528.1117032,189743.801186825,1715919528.1190772,189743.808560617,0.0073737920029088855,FrameResult.CV_ERROR,0.0
20,1715919528.283262,189743.97274645,1715919528.3295586,189744.01904345,0.04629700002260506,FrameResult.NO_CHANGE,0.0
21,1715919528.496852,189744.18633595,1715919528.544401,189744.233885867,0.04754991698428057,FrameResult.NO_CHANGE,0.0
22,1715919528.710325,189744.399808534,1715919528.765894,189744.455378659,0.055570124997757375,FrameResult.NO_CHANGE,0.0
23,1715919528.9183264,189744.6078092,1715919528.9251902,189744.614674117,0.0068649169988930225,FrameResult.CV_ERROR,0.0
24,1715919529.0800002,189744.769483742,1715919529.0874066,189744.776890367,0.007406624994473532,FrameResult.CV_ERROR,0.0
25,1715919529.2324958,189744.921979576,1715919529.2944496,189744.983934201,0.061954625009093434,FrameResult.NO_CHANGE,0.0
26,1715919529.4397101,189745.129194576,1715919529.4883535,189745.177838492,0.04864391600131057,FrameResult.NO_CHANGE,0.0
27,1715919529.6155963,189745.305079826,1715919529.6639986,189745.353483951,0.04840412500197999,FrameResult.NO_CHANGE,0.0
28,1715919529.831385,189745.520869284,1715919529.8796506,189745.569135784,0.04826650000177324,FrameResult.NO_CHANGE,0.0
29,1715919530.0003867,189745.689870868,1715919530.0509832,189745.740468201,0.050597333000041544,FrameResult.NO_CHANGE,0.0
30,1715919530.1886451,189745.878128909,1715919530.2602808,189745.949765701,0.07163679198129103,FrameResult.NO_CHANGE,0.0
31,1715919530.3811245,189746.070608701,1715919530.3855643,189746.075048951,0.004440249991603196,FrameResult.CV_ERROR,0.0
32,1715919530.507051,189746.196535368,1715919530.5114245,189746.200908784,0.004373415984446183,FrameResult.CV_ERROR,0.0
33,1715919530.6596646,189746.349148951,1715919530.7069154,189746.39640041,0.047251459007384256,FrameResult.NO_CHANGE,0.0
34,1715919530.8319726,189746.521456201,1715919530.8368332,189746.52631766,0.004861458990490064,FrameResult.CV_ERROR,0.0
35,1715919530.9516163,189746.641099368,1715919530.958588,189746.648072076,0.006972708011744544,FrameResult.CV_ERROR,0.0
36,1715919531.0942843,189746.783767493,1715919531.1016219,189746.791104451,0.00733695799135603,FrameResult.CV_ERROR,0.0
37,1715919531.2568011,189746.94628466,1715919531.2645495,189746.954032743,0.007748083007754758,FrameResult.CV_ERROR,0.0
38,1715919531.3824894,189747.071972077,1715919531.3903565,189747.079838743,0.00786666598287411,FrameResult.CV_ERROR,0.0
39,1715919531.5106966,189747.200180618,1715919531.8643773,189747.553862535,0.35368191698216833,FrameResult.SUCCESS,0.0
40,1715919531.9910715,189747.680556494,1715919532.3269444,189748.016429077,0.3358725830039475,FrameResult.NO_CHANGE,0.0
41,1715919532.4659684,189748.155453119,1715919532.5125477,189748.202032869,0.04657975002191961,FrameResult.JUNK_FRAME,0.0
42,1715919532.6666393,189748.356122994,1715919532.712801,189748.402285952,0.046162957994965836,FrameResult.JUNK_FRAME,0.0
43,1715919532.8330357,189748.522520036,1715919532.881067,189748.570551911,0.04803187499055639,FrameResult.JUNK_FRAME,0.0
44,1715919533.0127912,189748.702275077,1715919533.3770669,189749.066552077,0.36427700001513585,FrameResult.NO_CHANGE,0.0
45,1715919533.4914162,189749.180900869,1715919533.5394485,189749.228933536,0.04803266702219844,FrameResult.JUNK_FRAME,0.0
46,1715919533.6748192,189749.364303578,1715919534.0283983,189749.717883411,0.35357983299763873,FrameResult.NO_CHANGE,0.0
47,1715919534.1878428,189749.87732762,1715919534.2233667,189749.912851536,0.035523916012607515,FrameResult.JUNK_FRAME,0.0
48,1715919534.3488472,189750.038330411,1715919534.3950894,189750.08457412,0.0462437090172898,FrameResult.JUNK_FRAME,0.0
49,1715919534.5381463,189750.227630036,1715919534.9061563,189750.59564137,0.36801133397966623,FrameResult.NO_CHANGE,0.0
50,1715919535.0459905,189750.73547437,1715919535.079552,189750.76903712,0.033562749973498285,FrameResult.JUNK_FRAME,0.0
51,1715919535.2092133,189750.89869737,1715919535.5649338,189751.254418912,0.35572154200053774,FrameResult.NO_CHANGE,0.0
52,1715919535.6965709,189751.386055079,1715919535.7297347,189751.419219537,0.03316445800010115,FrameResult.JUNK_FRAME,0.0
53,1715919535.8826134,189751.572097204,1715919535.931726,189751.621211245,0.04911404097219929,FrameResult.JUNK_FRAME,0.0
54,1715919536.0421824,189751.73166562,1715919536.0905657,189751.780050579,0.048384958994574845,FrameResult.JUNK_FRAME,0.0
55,1715919536.2233694,189751.912853746,1715919536.5856917,189752.275176871,0.36232312498032115,FrameResult.NO_CHANGE,0.0
56,1715919536.7202432,189752.409728037,1715919536.7519982,189752.441482662,0.0317546250007581,FrameResult.JUNK_FRAME,0.0
57,1715919536.8641274,189752.553611871,1715919536.8991523,189752.588637204,0.03502533299615607,FrameResult.JUNK_FRAME,0.0
58,1715919537.0188534,189752.708337871,1715919537.0663133,189752.755798204,0.04746033297851682,FrameResult.JUNK_FRAME,0.0
59,1715919537.2126,189752.902084496,1715919537.5570757,189753.246561079,0.3444765830063261,FrameResult.SUCCESS,0.0
