step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715940806.0295446,211022.414173758,1715940806.9619448,211023.346573884,211022.414629842,211022.414629842,0.9319440419785678,0.0,0.9324001259810757,0.9324001259810757,0.00045608400250785053,1
1,1715940806.9619448,211023.346573884,1715940812.3248255,211028.709454553,211023.34870305,211028.209571553,0.499883000011323,4.851225410450604,5.362880669010337,0.5116552585597338,0.011772258556447923,28
2,1715940812.3248253,211028.709454553,1715940821.2798574,211037.664486723,211028.710249303,211037.174503056,0.4899836669792421,8.328428439274136,8.955032169993501,0.6266037307193653,0.13662006374215707,30
3,1715940821.2798576,211037.664486723,1715940826.3830848,211042.767713767,211037.66578414,211042.189059017,0.5786547500174493,4.312356537247565,5.10322704401915,0.7908705067715847,0.21221575676463544,15
4,1715940826.3830845,211042.767713767,1715940829.3128734,211045.697502518,211042.768595434,211045.184676102,0.5128264160011895,2.3257130043111354,2.929788751003798,0.6040757466926627,0.09124933069688268,8
5,1715940829.3128734,211045.697502518,1715940836.3377726,211052.722401647,211045.698271268,211052.225958313,0.49644333400647156,6.479853401821947,7.024899128999095,0.5450457271771487,0.048602393158944324,22
6,1715940836.3377724,211052.722401647,1715940841.9023397,211058.286968858,211052.723125355,211057.811740441,0.47522841702448204,5.049150519140405,5.564567210996756,0.515416691856351,0.04018827484105714,18
7,1715940841.9023397,211058.286968858,1715940849.962974,211066.347603194,211058.287708024,211065.817715027,0.5298881670169067,7.5241023579023985,8.060634335997747,0.5365319780953488,0.006643811066169292,27
8,1715940849.962974,211066.347603194,1715940857.1928341,211073.577463322,211066.348433777,211073.070697822,0.506765500002075,6.695044587747952,7.2298601279908326,0.5348155402428807,0.02805004024412483,24
9,1715940857.1928341,211073.577463322,1715940864.4120924,211080.796721659,211073.578227197,211080.284194242,0.512527416984085,6.605721362289185,7.219258336990606,0.6135369747014208,0.10100955772213638,23
10,1715940864.4120924,211080.796721659,1715940868.2023919,211084.587021078,211080.797928076,211084.088867702,0.49815337601467036,3.1550285524312813,3.790299419022631,0.6352708665913496,0.1371174905798398,19
11,1715940868.2023919,211084.587021078,1715940873.2590322,211089.643661538,211084.587787203,211089.147573913,0.49608762498246506,4.429467433614082,5.056640459981281,0.6271730263671991,0.1310854013718199,18
12,1715940873.2590325,211089.643661538,1715940879.5023181,211095.886947249,211089.644433247,211095.392032874,0.4949143750127405,5.538533201716083,6.243285711010685,0.7047525092946021,0.20983813429484144,22
13,1715940879.5023181,211095.886947249,1715940886.6878982,211103.072527211,211095.887668916,211102.531895211,0.5406320000183769,6.603136658094417,7.185579962009797,0.5824433039153796,0.04181130390497856,25
14,1715940886.6878982,211103.072527211,1715940898.547116,211114.931745175,211103.073559295,211114.426902967,0.5048422079999,11.23367963236485,11.859217963996343,0.6255383316314926,0.12069612363120541,42
15,1715940898.547116,211114.931745175,1715940908.274904,211124.659533054,211114.932696175,211124.160183429,0.49934962499537505,9.08951839349834,9.727787878975505,0.6382694854771653,0.13891986047383398,35
16,1715940908.2749038,211124.659533054,1715940911.7648907,211128.149520056,211124.660478596,211127.636933389,0.5125866669986863,2.875079822339116,3.489987002016278,0.6149071796771621,0.10232051266939379,11
17,1715940911.764891,211128.149520056,1715940916.261021,211132.645649933,211128.150416264,211132.136172058,0.5094778749917168,3.4913040236679187,4.4961298769922,1.0048258533242809,0.49534797834348865,16
18,1715940916.2610207,211132.645649933,1715940918.9498472,211135.334476434,211132.646792475,211134.850119184,0.4843572500103619,2.030111587194961,2.6888265010202304,0.6587149138252695,0.17435766381095164,9
19,1715940918.9498472,211135.334476434,1715940926.277007,211142.661636313,211135.335297684,211142.182752104,0.47888420897652395,6.776591462247248,7.327159878972452,0.5505684167252038,0.07168420773814432,28
20,1715940926.277007,211142.661636313,1715940936.1292832,211152.513912317,211142.662435479,211151.959460317,0.5544519999821205,9.23402691345293,9.852276004006853,0.618249090553924,0.06379709058091976,40
21,1715940936.1292832,211152.513912317,1715940943.091994,211159.476623195,211152.515232901,211158.976284487,0.5003387079923414,6.365413640919167,6.962710877996869,0.5972972370777025,0.09695852908771485,32
22,1715940943.091994,211159.476623195,1715940947.9550364,211164.339665531,211159.477454403,211163.816831989,0.5228335419960786,4.3276849664305,4.863042336015496,0.5353573695849967,0.012523827579570934,17
23,1715940947.9550364,211164.339665531,1715940954.1661286,211170.550757784,211164.340550406,211170.006880367,0.5438774169888347,5.582772656655941,6.21109225298278,0.6283195963268398,0.08444217932992615,21
24,1715940954.1661286,211170.550757784,1715940958.0712028,211174.455831911,211170.551569367,211173.898196494,0.5576354170043487,3.2473714010019403,3.9050741270184517,0.6577027260165114,0.10006730901659466,14
25,1715940958.0712028,211174.455831911,1715940964.6380904,211181.022719455,211174.456783411,211180.479485538,0.5432339170074556,5.534545045903684,6.566887544002384,1.0323424980987,0.4891085810959339,23
26,1715940964.6380904,211181.022719455,1715940972.3436768,211188.728305792,211181.02366383,211188.235099375,0.4932064170134254,6.91241660124963,7.705586336989654,0.7931697357400243,0.29996331871370785,24
